_H:	$name	|red	|green	|blue	$hexcolor
_D:	"blue1"	0	0	255	"#0000ff"
_D:	"blue2"	0	0	238	"#0000ee"
_D:	"blue3"	0	0	205	"#0000cd"
_D:	"blue4"	0	0	139	"#00008b"
_D:	"DodgerBlue1"	30	144	255	"#1e90ff"
_D:	"DodgerBlue2"	28	134	238	"#1c86ee"
_D:	"DodgerBlue3"	24	116	205	"#1874cd"
_D:	"DodgerBlue4"	16	78	139	"#104e8b"
_D:	"SteelBlue1"	99	184	255	"#63b8ff"
_D:	"SteelBlue2"	92	172	238	"#5cacee"
_D:	"SteelBlue3"	79	148	205	"#4f94cd"
_D:	"SteelBlue4"	54	100	139	"#36648b"
_D:	"DeepSkyBlue1"	0	191	255	"#00bfff"
_D:	"DeepSkyBlue2"	0	178	238	"#00b2ee"
_D:	"DeepSkyBlue3"	0	154	205	"#009acd"
_D:	"DeepSkyBlue4"	0	104	139	"#00688b"
_D:	"SkyBlue1"	135	206	255	"#87ceff"
_D:	"SkyBlue2"	126	192	238	"#7ec0ee"
_D:	"SkyBlue3"	108	166	205	"#6ca6cd"
_D:	"SkyBlue4"	74	112	139	"#4a708b"
_D:	"LightSkyBlue1"	176	226	255	"#b0e2ff"
_D:	"LightSkyBlue2"	164	211	238	"#a4d3ee"
_D:	"LightSkyBlue3"	141	182	205	"#8db6cd"
_D:	"LightSkyBlue4"	96	123	139	"#607b8b"
_D:	"SlateGray1"	198	226	255	"#c6e2ff"
_D:	"SlateGray2"	185	211	238	"#b9d3ee"
_D:	"SlateGray3"	159	182	205	"#9fb6cd"
_D:	"SlateGray4"	108	123	139	"#6c7b8b"
_D:	"LightSteelBlue1"	202	225	255	"#cae1ff"
_D:	"LightSteelBlue2"	188	210	238	"#bcd2ee"
_D:	"LightSteelBlue3"	162	181	205	"#a2b5cd"
_D:	"LightSteelBlue4"	110	123	139	"#6e7b8b"
_D:	"LightBlue1"	191	239	255	"#bfefff"
_D:	"LightBlue2"	178	223	238	"#b2dfee"
_D:	"LightBlue3"	154	192	205	"#9ac0cd"
_D:	"LightBlue4"	104	131	139	"#68838b"
_D:	"LightCyan1"	224	255	255	"#e0ffff"
_D:	"LightCyan2"	209	238	238	"#d1eeee"
_D:	"LightCyan3"	180	205	205	"#b4cdcd"
_D:	"LightCyan4"	122	139	139	"#7a8b8b"
_D:	"PaleTurquoise1"	187	255	255	"#bbffff"
_D:	"PaleTurquoise2"	174	238	238	"#aeeeee"
_D:	"PaleTurquoise3"	150	205	205	"#96cdcd"
_D:	"PaleTurquoise4"	102	139	139	"#668b8b"
_D:	"CadetBlue1"	152	245	255	"#98f5ff"
_D:	"CadetBlue2"	142	229	238	"#8ee5ee"
_D:	"CadetBlue3"	122	197	205	"#7ac5cd"
_D:	"CadetBlue4"	83	134	139	"#53868b"
_D:	"turquoise1"	0	245	255	"#00f5ff"
_D:	"turquoise2"	0	229	238	"#00e5ee"
_D:	"turquoise3"	0	197	205	"#00c5cd"
_D:	"turquoise4"	0	134	139	"#00868b"
_D:	"cyan1"	0	255	255	"#00ffff"
_D:	"cyan2"	0	238	238	"#00eeee"
_D:	"cyan3"	0	205	205	"#00cdcd"
_D:	"cyan4"	0	139	139	"#008b8b"
_D:	"DarkSlateGray1"	151	255	255	"#97ffff"
_D:	"DarkSlateGray2"	141	238	238	"#8deeee"
_D:	"DarkSlateGray3"	121	205	205	"#79cdcd"
_D:	"DarkSlateGray4"	82	139	139	"#528b8b"
_D:	"aquamarine1"	127	255	212	"#7fffd4"
_D:	"aquamarine2"	118	238	198	"#76eec6"
_D:	"aquamarine3"	102	205	170	"#66cdaa"
_D:	"aquamarine4"	69	139	116	"#458b74"
_D:	"DarkSeaGreen1"	193	255	193	"#c1ffc1"
_D:	"DarkSeaGreen2"	180	238	180	"#b4eeb4"
_D:	"DarkSeaGreen3"	155	205	155	"#9bcd9b"
_D:	"DarkSeaGreen4"	105	139	105	"#698b69"
_D:	"SeaGreen1"	84	255	159	"#54ff9f"
_D:	"SeaGreen2"	78	238	148	"#4eee94"
_D:	"SeaGreen3"	67	205	128	"#43cd80"
_D:	"SeaGreen4"	46	139	87	"#2e8b57"
_D:	"PaleGreen1"	154	255	154	"#9aff9a"
_D:	"PaleGreen2"	144	238	144	"#90ee90"
_D:	"PaleGreen3"	124	205	124	"#7ccd7c"
_D:	"PaleGreen4"	84	139	84	"#548b54"
